taxa,host,country,accession,organism,length,strain,location,date
MG659827|human|ZAF|2010-01-01,human,ZAF,MG659827,Rift Valley fever virus,6404,SPU86/10,Northern cape,2010-01-01
MG659833|human|ZAF|2010-01-01,human,ZAF,MG659833,Rift Valley fever virus,6404,SA106/10,Free state,2010-01-01
MG659834|human|ZAF|2010-01-01,human,ZAF,MG659834,Rift Valley fever virus,6404,SA110/10,Free state,2010-01-01
MG659835|human|ZAF|2010-01-01,human,ZAF,MG659835,Rift Valley fever virus,6404,SA122/10,Free state,2010-01-01
MG659836|human|ZAF|2010-01-01,human,ZAF,MG659836,Rift Valley fever virus,6404,SPU126/10,Eastern cape,2010-01-01
MG659837|human|ZAF|2010-01-01,human,ZAF,MG659837,Rift Valley fever virus,6404,SA128/10,Free state,2010-01-01
MG659832|human|ZAF|2010-01-01,human,ZAF,MG659832,Rift Valley fever virus,6404,SA103/10,Free state,2010-01-01
DQ375413|cow|ZWE|1974-01-01,cow,ZWE,DQ375413,Rift Valley fever virus,6404,2250/74,Beatrice,1974-01-01
DQ375418|cow|ZWE|1978-01-01,cow,ZWE,DQ375418,Rift Valley fever virus,6404,1260/78,Salisbury,1978-01-01
DQ375424|cow|ZWE|1978-01-01,cow,ZWE,DQ375424,Rift Valley fever virus,6404,1853/78,Sinoia,1978-01-01
DQ375426|cow|ZWE|1970-01-01,cow,ZWE,DQ375426,Rift Valley fever virus,6404,763/70,Salisbury,1970-01-01
MG659900|human|ZWE|1976-01-01,human,ZWE,MG659900,Rift Valley fever virus,6404,VRL2051/76,Gatooma,1976-01-01
DQ375432|cow|ZWE|1974-01-01,cow,ZWE,DQ375432,Rift Valley fever virus,6404,2373/74,Salisbury,1974-01-01
MG659901|sheep|ZWE|1978-01-01,sheep,ZWE,MG659901,Rift Valley fever virus,6404,VRL1217/78,Sinoia,1978-01-01
DQ375434|cow|ZWE|1974-01-01,cow,ZWE,DQ375434,Rift Valley fever virus,6404,2269/74,Sinoia,1974-01-01
MG659902|cow|ZWE|1978-01-01,cow,ZWE,MG659902,Rift Valley fever virus,6404,VRL1290/78,Salisbury,1978-01-01
