Query,Lineage,aLRT,UFbootstrap,Length,Ns(%),Note,Year_first,Year_last,Countries
EU312135,E,82,91,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
DQ380159,K,93,78,1691,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
EU574064,C,97,99,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P1,C,98,100,1690,8.82,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380164,E,83,82,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
MG659938,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312108,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
AM-M1,C,98,100,1653,3.27,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659980,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU709748,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574080,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF311388,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659959,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312111,I,100,100,1691,0.00,assigned (bootstrap value >= 70),1955,1956,ZAF
MG659921,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659964,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JF326199,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380180,N,98,100,1692,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
KY196494,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659966,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659923,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312113,L,92,81,1690,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
J10,C,98,100,1690,4.20,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196496,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JQ820473,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060777,C,97,100,1678,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574082,C,99,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060824,C,98,100,1647,3.95,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MSA,C,97,100,1690,0.06,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
250618,C,97,100,1690,2.37,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380166,E,82,91,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
P110,C,98,100,1690,7.40,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659982,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KX944819,C,98,99,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944824,C,98,100,1638,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312137,A,96,99,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
MG972977,C,97,100,1686,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659907,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659942,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JF311393,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574066,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659986,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX096943,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380162,E,86,86,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
ON060804,K,95,94,1670,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
EU574062,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P7,C,98,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P26,C,98,100,1690,7.40,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF326202,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312133,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659946,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
P47,C,98,100,1690,4.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196492,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JQ820477,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659927,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659962,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KX944804,H,100,100,1635,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312117,F,97,100,1691,0.00,assigned (bootstrap value >= 70),1974,1981,ZAF
DQ380146,A,96,100,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
EU574086,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312128,C,96,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659918,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KY196508,I,100,100,1691,0.00,assigned (bootstrap value >= 70),1955,1956,ZAF
EU574084,C,99,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574079,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380144,A,96,100,1691,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
JQ820475,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060771,C,98,100,1586,4.73,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380179,N,98,100,1690,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
P45,C,98,100,1690,5.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944806,H,100,100,1675,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312115,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659925,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659960,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
HM586976,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P5,C,97,100,1690,5.80,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P61,C,99,100,1690,4.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
BDI0008,C,98,100,1690,7.34,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574060,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659944,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KX944822,C,97,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312131,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF326200,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196511,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KJ782455,E,86,84,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
MG659984,K,95,70,1691,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
MG659979,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
DQ380160,E,87,90,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
KY196489,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
P116,C,97,100,1690,4.73,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060795,K,95,96,1627,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
EU574083,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380143,A,96,100,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
KY196497,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
ON060818,K,95,94,1679,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
JQ820472,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659967,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659922,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
P2,C,98,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312112,A,97,99,1691,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
P66,C,97,100,1690,4.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P23,C,98,100,1690,4.20,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574067,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312136,E,83,87,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
KX944825,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659943,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659906,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JF311392,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659983,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
CML3,C,99,100,1667,0.84,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KJ782452,E,87,80,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
KX944818,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
RU1-SE,C,98,100,1653,2.60,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060801,C,97,100,1674,0.30,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380167,E,81,88,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
ON060792,C,98,100,1667,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659939,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312109,E,81,78,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
MG659981,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
DQ380165,E,86,88,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
EU574058,C,96,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P99,C,97,100,1690,4.62,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380158,O,90,78,1691,0.06,assigned (bootstrap value >= 70),1951,1951,ZAF
EU574065,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF311390,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG972974,C,98,100,1644,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659941,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312134,A,96,100,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
DQ380181,N,99,100,1691,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
P40,C,98,100,1690,4.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060789,C,98,100,1617,0.06,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060774,C,97,100,1683,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196495,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312110,A,96,99,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
KX944803,H,99,100,1672,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659965,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659920,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JF326198,C,99,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF311389,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659958,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
P80,C,97,100,1690,4.50,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060827,C,97,100,1618,3.52,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MT561462,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574081,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312114,F,98,100,1690,0.00,assigned (bootstrap value >= 70),1974,1981,ZAF
KX944807,O,92,80,1655,0.00,assigned (bootstrap value >= 70),1951,1951,ZAF
MG659961,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659924,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JQ820474,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380178,N,99,100,1690,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
KY196491,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
NA-KOL,C,98,100,1690,0.06,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574085,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574078,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380145,A,96,99,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
MG659919,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KY196509,L,91,83,1691,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
ON060807,C,97,100,1679,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196488,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
DQ380161,E,87,82,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
KX096940,C,98,100,1692,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659985,B,97,100,1690,0.00,assigned (bootstrap value >= 70),1972,1972,KEN
MG659978,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659945,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312130,L,92,97,1690,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
KX944823,C,98,100,1645,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF311394,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF326201,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196510,F,99,100,1690,0.00,assigned (bootstrap value >= 70),1974,1981,ZAF
HM586977,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P4,C,98,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574061,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF326203,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312132,E,86,89,1691,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
KX944821,L,91,80,1654,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
MG659947,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU574063,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060838,C,97,100,1667,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586975,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380163,E,83,91,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
MG659987,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KU978774,C,98,100,1636,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P86,C,98,100,1690,5.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060821,C,98,100,1679,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380147,A,96,99,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
EU574087,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY366328,A,96,100,1605,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
MG659963,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659926,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312116,N,99,100,1692,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
KX944805,H,100,100,1676,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KEM-BR,C,98,100,1690,4.32,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MT561459,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KY196493,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JQ820476,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
