taxa,host,country,accession,organism,length,strain,location,date
MG659931|human|ZAF|2010-01-01,human,ZAF,MG659931,Rift Valley fever virus,1691,SA257/10,Free state,2010-01-01
MG659930|human|ZAF|2010-01-01,human,ZAF,MG659930,Rift Valley fever virus,1691,SA250/10,Free state,2010-01-01
MG659928|human|ZAF|2010-01-01,human,ZAF,MG659928,Rift Valley fever virus,1690,SA225/10,Free state,2010-01-01
KY196501|buffalo|ZAF|2008-01-01,buffalo,ZAF,KY196501,Rift Valley fever virus,1689,SPU77/08,Mpumalanga,2008-01-01
MG659926|human|ZAF|2010-01-01,human,ZAF,MG659926,Rift Valley fever virus,1690,SA206/10,Free state,2010-01-01
MG659924|human|ZAF|2010-01-01,human,ZAF,MG659924,Rift Valley fever virus,1690,SA135/10,Free state,2010-01-01
KY196487|human|ZAF|2010-01-01,human,ZAF,KY196487,Rift Valley fever virus,1690,SPU105/10,Northern cape,2010-01-01
MG659917|human|ZAF|2010-01-01,human,ZAF,MG659917,Rift Valley fever virus,1690,SPU100/10,Eastern cape,2010-01-01
KY196503|cow|ZAF|2008-01-01,cow,ZAF,KY196503,Rift Valley fever virus,1692,SPU142/08,Bela-Bela,2008-01-01
KY196505|cow|ZAF|2009-01-01,cow,ZAF,KY196505,Rift Valley fever virus,1689,SPU86/09,Northern cape,2009-01-01
KY196506|human|ZAF|2009-01-01,human,ZAF,KY196506,Rift Valley fever virus,1690,SPU404/09,Eastern cape,2009-01-01
KY196507|mosquito|ZAF|1955-01-01,mosquito,ZAF,KY196507,Rift Valley fever virus,1691,Ar74,Free State,1955-01-01
MG659920|human|ZAF|2010-01-01,human,ZAF,MG659920,Rift Valley fever virus,1690,SA110/10,Free state,2010-01-01
KY196509|mosquito|ZAF|1971-01-01,mosquito,ZAF,KY196509,Rift Valley fever virus,1691,Ar12568,Standerton,1971-01-01
KY196510|mosquito|ZAF|1981-01-01,mosquito,ZAF,KY196510,Rift Valley fever virus,1690,Ar20364,Natal,1981-01-01
KY196508|mosquito|ZAF|1956-01-01,mosquito,ZAF,KY196508,Rift Valley fever virus,1691,An1830,Free State,1956-01-01
KY196511|buffalo|ZAF|1999-01-01,buffalo,ZAF,KY196511,Rift Valley fever virus,1690,SPU52/99/1,Limpopo,1999-01-01
MG659905|mosquito|ZAF|1955-01-01,mosquito,ZAF,MG659905,Rift Valley fever virus,1692,Ar 118,Free State,1955-01-01
MG659906|human|ZAF|2010-01-01,human,ZAF,MG659906,Rift Valley fever virus,1690,SPU59/10,Northern cape,2010-01-01
MG659907|human|ZAF|2010-01-01,human,ZAF,MG659907,Rift Valley fever virus,1691,SA62/10,Free state,2010-01-01
MG659914|human|ZAF|2010-01-01,human,ZAF,MG659914,Rift Valley fever virus,1690,SA93/10,Free state,2010-01-01
DQ380159|cow|ZWE|1974-01-01,cow,ZWE,DQ380159,Rift Valley fever virus,1691,2373/74,Salisbury,1974-01-01
DQ380164|cow|ZWE|1978-01-01,cow,ZWE,DQ380164,Rift Valley fever virus,1690,1260/78,Salisbury,1978-01-01
DQ380168|cow|ZWE|1978-01-01,cow,ZWE,DQ380168,Rift Valley fever virus,1691,1853/78,Sinoia,1978-01-01
MG659986|human|ZWE|1976-01-01,human,ZWE,MG659986,Rift Valley fever virus,1691,VRL2051/76,Gatooma,1976-01-01
DQ380173|cow|ZWE|1974-01-01,cow,ZWE,DQ380173,Rift Valley fever virus,1691,2269/74,Sinoia,1974-01-01
DQ380174|cow|ZWE|1970-01-01,cow,ZWE,DQ380174,Rift Valley fever virus,1690,763/70,Salisbury,1970-01-01
MG659988|cow|ZWE|1978-01-01,cow,ZWE,MG659988,Rift Valley fever virus,1691,VRL1290/78,Salisbury,1978-01-01
DQ380143|cow|ZWE|1974-01-01,cow,ZWE,DQ380143,Rift Valley fever virus,1690,2250/74,Beatrice,1974-01-01
MG659987|sheep|ZWE|1978-01-01,sheep,ZWE,MG659987,Rift Valley fever virus,1691,VRL1217/78,Sinoia,1978-01-01
